title,release_year,runtime_minutes,imdb_rating,Meta_score,No_of_Votes,Genre
The Wild Bunch,1969,145,7.9,97,77401,"Action, Adventure, Western"
Patton,1970,172,7.9,91,93741,"Biography, Drama, War"
Harold and Maude,1971,91,7.9,62,70826,"Comedy, Drama, Romance"
"Aguirre, der Zorn Gottes",1972,95,7.9,,52397,"Action, Adventure, Biography"
Le charme discret de la bourgeoisie,1972,102,7.9,93,38737,Comedy
La montaña sagrada,1973,114,7.9,76,37183,"Adventure, Drama, Fantasy"
Amarcord,1973,123,7.9,,39897,"Comedy, Drama, Family"
All the President's Men,1976,138,7.9,84,103031,"Biography, Drama, History"
Dawn of the Dead,1978,127,7.9,71,111512,"Action, Adventure, Horror"
Manhattan,1979,96,7.9,83,131436,"Comedy, Drama, Romance"
All That Jazz,1979,123,7.9,72,28223,"Drama, Music, Musical"
The Blues Brothers,1980,133,7.9,60,183182,"Action, Adventure, Comedy"
A Christmas Story,1983,93,7.9,77,132947,"Comedy, Family"
This Is Spinal Tap,1984,82,7.9,92,128812,"Comedy, Music"
Brazil,1985,132,7.9,84,187567,"Drama, Sci-Fi"
Hannah and Her Sisters,1986,107,7.9,90,67176,"Comedy, Drama"
The Untouchables,1987,119,7.9,79,281842,"Crime, Drama, Thriller"
Crimes and Misdemeanors,1989,104,7.9,77,54670,"Comedy, Drama"
My Left Foot: The Story of Christy Brown,1989,103,7.9,97,68076,"Biography, Drama"
Edward Scissorhands,1990,105,7.9,74,447368,"Drama, Fantasy, Romance"
Jûbê ninpûchô,1993,94,7.9,,34529,"Animation, Action, Adventure"
Carlito's Way,1993,144,7.9,65,201000,"Crime, Drama, Thriller"
True Romance,1993,119,7.9,59,206918,"Crime, Drama, Romance"
Trois couleurs: Bleu,1993,94,7.9,85,89836,"Drama, Music, Mystery"
Once Were Warriors,1994,102,7.9,77,31590,"Crime, Drama"
Mimi wo sumaseba,1995,111,7.9,75,51943,"Animation, Drama, Family"
Boogie Nights,1997,155,7.9,85,239473,Drama
Toy Story 2,1999,92,7.9,88,527512,"Animation, Adventure, Comedy"
Nueve reinas,2000,114,7.9,80,49721,"Crime, Drama, Thriller"
Almost Famous,2000,122,7.9,90,252586,"Adventure, Comedy, Drama"
No Man's Land,2001,98,7.9,84,44618,"Comedy, Drama, War"
Mulholland Dr.,2001,147,7.9,85,322031,"Drama, Mystery, Thriller"
Cowboy Bebop: Tengoku no tobira,2001,115,7.9,61,42897,"Animation, Action, Crime"
The Bourne Identity,2002,119,7.9,68,508771,"Action, Mystery, Thriller"
Hable con ella,2002,112,7.9,86,104691,"Drama, Mystery, Romance"
Ying xiong,2002,120,7.9,85,173999,"Action, Adventure, History"
Mystic River,2003,138,7.9,84,419420,"Crime, Drama, Mystery"
Harry Potter and the Prisoner of Azkaban,2004,142,7.9,82,552493,"Adventure, Family, Fantasy"
Gegen die Wand,2004,121,7.9,78,51325,"Drama, Romance"
Shaun of the Dead,2004,99,7.9,76,512249,"Comedy, Horror"
Les choristes,2004,97,7.9,56,57430,"Drama, Music"
C.R.A.Z.Y.,2005,129,7.9,81,31476,"Comedy, Drama"
Letters from Iwo Jima,2006,141,7.9,89,154011,"Action, Adventure, Drama"
The Fall,2006,117,7.9,64,107290,"Adventure, Drama, Fantasy"
Children of Men,2006,109,7.9,84,465113,"Adventure, Drama, Sci-Fi"
The Man from Earth,2007,87,7.9,,174125,"Drama, Fantasy, Mystery"
Jab We Met,2007,138,7.9,,47720,"Comedy, Drama, Romance"
"4 luni, 3 saptamâni si 2 zile",2007,113,7.9,97,56625,Drama
Låt den rätte komma in,2008,114,7.9,82,205609,"Crime, Drama, Fantasy"
Iron Man,2008,126,7.9,79,939644,"Action, Adventure, Sci-Fi"
In Bruges,2008,107,7.9,67,390334,"Comedy, Crime, Drama"
The Wrestler,2008,109,7.9,80,289415,"Drama, Sport"
Un prophète,2009,155,7.9,90,93560,"Crime, Drama"
Moon,2009,97,7.9,67,335152,"Drama, Mystery, Sci-Fi"
District 9,2009,112,7.9,81,638202,"Action, Sci-Fi, Thriller"
Fantastic Mr. Fox,2009,87,7.9,83,199696,"Animation, Adventure, Comedy"
Star Trek,2009,127,7.9,82,577336,"Action, Adventure, Sci-Fi"
The Artist,2011,100,7.9,89,230624,"Comedy, Drama, Romance"
Bir Zamanlar Anadolu'da,2011,157,7.9,82,41995,"Crime, Drama"
Amour,2012,127,7.9,94,93090,"Drama, Romance"
Life of Pi,2012,127,7.9,79,580708,"Adventure, Drama, Fantasy"
