movie_id,title,release_year,budget,revenue,profit,roi,tmdb_rating,imdb_rating,runtime_minutes,imdb_genre,tmdb_genres,certificate,industry_rating,popularity,original_language
11798,This Is England,2006,2380000,8176544,5796544,2.43552268907563,7.4,7.7,101,"Crime, Drama","[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]",Not Rated,7.7,8.395624,en
10683,Happiness,1998,3000000,2807390,-192610,-0.064203333333333334,7.4,7.7,134,"Comedy, Drama","[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",Unrated,7.7,10.757539,en
1523,The Last King of Scotland,2006,6000000,48027970,42027970,7.0046616666666663,7.4,7.7,123,"Biography, Drama, History","[{""id"": 18, ""name"": ""Drama""}]",R,7.7,26.286954,en
43949,Flipped,2010,14000000,1755212,-12244788,-0.87462771428571429,7.4,7.7,90,"Comedy, Drama, Romance","[{""id"": 10749, ""name"": ""Romance""}, {""id"": 18, ""name"": ""Drama""}]",PG,7.7,24.210698,en
71,Billy Elliot,2000,5000000,110000000,105000000,21.0,7.4,7.7,110,"Drama, Music","[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10402, ""name"": ""Music""}]",R,7.7,20.428237,en
1542,Office Space,1999,10000000,12827813,2827813,0.2827813,7.4,7.7,89,Comedy,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}]",R,7.7,18.366362,en
54138,Star Trek Into Darkness,2013,190000000,467365246,277365246,1.4598170842105263,7.4,7.7,132,"Action, Adventure, Sci-Fi","[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",PG-13,7.7,78.291018,en
24226,The Verdict,1982,16000000,53977250,37977250,2.373578125,7.4,7.7,129,Drama,"[{""id"": 18, ""name"": ""Drama""}]",R,7.7,7.980632,en
746,The Last Emperor,1987,23000000,43984230,20984230,0.91235782608695648,7.4,7.7,163,"Biography, Drama, History","[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",PG-13,7.7,21.189028,en
64690,Drive,2011,15000000,78054825,63054825,4.203655,7.4,7.8,100,"Crime, Drama","[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",R,7.8,49.294864,en
10637,Remember the Titans,2000,30000000,136706683,106706683,3.5568894333333332,7.4,7.8,113,"Biography, Drama, Sport","[{""id"": 18, ""name"": ""Drama""}]",PG,7.8,25.996219,en
4347,Atonement,2007,30000000,129266061,99266061,3.3088687,7.4,7.8,123,"Drama, Mystery, Romance","[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",R,7.8,33.369305,en
9665,Glory,1989,18000000,26828365,8828365,0.4904647222222222,7.4,7.8,122,"Biography, Drama, History","[{""id"": 10752, ""name"": ""War""}]",R,7.8,16.102271,en
650,Boyz n the Hood,1991,6500000,57504069,51004069,7.8467798461538463,7.4,7.8,112,"Crime, Drama","[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",R,7.8,17.705671,en
4638,Hot Fuzz,2007,12000000,80573774,68573774,5.7144811666666664,7.4,7.8,121,"Action, Comedy, Mystery","[{""id"": 80, ""name"": ""Crime""}, {""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}]",R,7.8,38.623178,en
